Brousse;63056;;22,45;339 (2017);15;CC Ambert Livradois Forez;
Le Brugeron;63057;Brugeronais;27,42;245 (2017);8,9;CC Ambert Livradois Forez;
Ceilloux;63065;Ceilloutois;8,99;177 (2017);20;CC Ambert Livradois Forez;
Chambon-sur-Dolore;63076;Chambonnaires;19,7;161 (2017);8,2;CC Ambert Livradois Forez;
Champétières;63081;Champetiérois;18,54;272 (2017);15;CC Ambert Livradois Forez;
La Chapelle-Agnon;63086;Chapeloux;26,08;346 (2017);13;CC Ambert Livradois Forez;
La Chaulme;63104;Chaulmois;13,6;115 (2017);8,5;CC Ambert Livradois Forez;
Chaumont-le-Bourg;63105;;8,28;231 (2017);28;CC Ambert Livradois Forez;
Condat-lès-Montboissier;63119;;20,52;226 (2017);11;CC Ambert Livradois Forez;
Cunlhat;63132;Cunlhatois;29,55;1 248 (2017);42;CC Ambert Livradois Forez;
Domaize;63136;Domaiziens;14,6;389 (2017);27;CC Ambert Livradois Forez;
Doranges;63137;Dorangeaux;19,43;159 (2017);8,2;CC Ambert Livradois Forez;
Dore-l'Église;63139;;27,14;634 (2017);23;CC Ambert Livradois Forez;
Échandelys;63142;;23,59;258 (2017);11;CC Ambert Livradois Forez;
Églisolles;63147;Églisollois;20,59;261 (2017);13;CC Ambert Livradois Forez;
Fayet-Ronaye;63158;;20,25;106 (2017);5,2;CC Ambert Livradois Forez;
La Forie;63161;Forians;2,81;321 (2017);114;CC Ambert Livradois Forez;
Fournols;63162;Fournolais;29,02;317 (2017);11;CC Ambert Livradois Forez;
Grandrif;63173;Grandrifois;22,15;186 (2017);8,4;CC Ambert Livradois Forez;
Grandval;63174;Grandvalois;9,83;116 (2017);12;CC Ambert Livradois Forez;
Job;63179;Joviens;42,68;1 018 (2017);24;CC Ambert Livradois Forez;
Marat;63207;Maratois;30,1;816 (2017);27;CC Ambert Livradois Forez;
Marsac-en-Livradois;63211;;48,46;1 458 (2017);30;CC Ambert Livradois Forez;
Mayres;63218;;12,49;200 (2017);16;CC Ambert Livradois Forez;
Medeyrolles;63221;Medeyrollois;17,12;118 (2017);6,9;CC Ambert Livradois Forez;
Le Monestier;63230;Monestiérois;17,31;210 (2017);12;CC Ambert Livradois Forez;
Novacelles;63256;Novacellois;14,43;145 (2017);10;CC Ambert Livradois Forez;
Olliergues;63258;Ollierguois;16,41;752 (2017);46;CC Ambert Livradois Forez;
Saillant;63309;;17,42;288 (2017);17;CC Ambert Livradois Forez;
Saint-Alyre-d'Arlanc;63312;Saint-Alyrois;24,19;170 (2017);7;CC Ambert Livradois Forez;
Saint-Amant-Roche-Savine;63314;Savinois;23,99;508 (2017);21;CC Ambert Livradois Forez;
Saint-Anthème;63319;Saint-Anthémois;68,89;698 (2017);10;CC Ambert Livradois Forez;
Saint-Bonnet-le-Bourg;63323;Brayauds;20,04;163 (2017);8,1;CC Ambert Livradois Forez;
Saint-Bonnet-le-Chastel;63324;;23,47;208 (2017);8,9;CC Ambert Livradois Forez;
Sainte-Catherine;63328;;5,67;52 (2017);9,2;CC Ambert Livradois Forez;
Saint-Clément-de-Valorgue;63331;Saint-Clémentois;13,37;231 (2017);17;CC Ambert Livradois Forez;
